call_id,group,duration_file_s,snr_db,clipping_pct,level_dbfs,speech_ratio,censored_s,n_censor_segments,asr_confidence,asr_low_conf_pct,n_speakers_detected,flags,contact_type,identity_validated,product,debt_amount,overdue_amount,non_payment_reasons,final_outcome,final_outcome_rank,ptp,ptp_type_commitment,ptp_amount,ptp_date,ptp_type,ptp_confirmed_by_client,agent_recapped,callback_scheduled,ptp_strength,had_negotiation,n_offers_agent,n_counteroffers_client,first_anchor,n_objections,n_objections_resolved,n_objections_partial,pct_objections_resolved,conv_duration_s,agent_speech_s,client_speech_s,agent_talk_share,silence_pct,n_turns,turns_per_min,mean_turn_s_agent,mean_turn_s_client,max_agent_monologue_s,n_monologues_30s,agent_latency_median_s,agent_latency_p90_s,client_latency_median_s,agent_spoke_first,time_to_first_agent_voice_s,dead_air_count,dead_air_s,interruptions_per_min_agent,interruptions_per_min_client,overlap_s,yield_time_s,backchannels_agent_per_min,words_per_min_agent,words_per_min_client,time_to_identification_s,time_to_debt_mention_s,time_to_first_offer_s,time_to_ptp_s,closing_by,last_turn_role,repeat_requests,repeat_requests_agent,repeat_requests_client,mechanical_repetition,agent_misunderstood,client_expresses_annoyance,greets,identifies_self,recording_notice,validates_identity_before_disclosing,states_amount,states_due_date,offers_payment_channels,mentions_credit_bureaus,recaps_agreement,polite_closing,script_checklist_score,debt_disclosed_to_third_party,clarity,empathy,active_listening,objection_handling,control_focus,professionalism,agent_pitch_range_st,client_pitch_range_st,agent_intensity_std_db,client_escalation,sentiment_start,sentiment_end,sentiment_delta,sentiment_min,agent_questions,politeness_markers,lexical_richness_mattr,fillers_per_min,agent_discourse_similarity,blindness_guess
C001,ai,100.36,16.78,0.0065,-15.67,0.4986,7.06,8,0.9775,2.05,2,agent_spoke_first;diar_corrected,voicemail,na,unknown,,,not_stated,no_contact,0,False,na,,,,na,na,False,,False,0,0,none,0,0,0,,94.686,23.355,0.0,1.0,49.596,5,3.1684,13.912,,55.502,1,,,,True,,5,37.46,0.0,0.0,1.681,,1.901,215.8,,,,,,agent,AGENT,0,0,0,False,0,False,true,false,na,na,na,na,na,na,na,na,,na,,,,,,3,8.571,,5.355,,,,,,2,1,0.712,0.0,0.3399,ai
C002,ai,403.36,16.48,0.0004,-19.34,0.8093,21.82,23,0.9428,2.69,2,hallucination_removed,account_holder,true,unknown,780000.0,,not_stated,no_agreement,3,False,na,,,,na,na,False,,True,2,1,agent,2,0,2,0.0,397.558,237.457,64.856,0.7855,24.621,34,5.1313,17.404,4.562,56.869,3,1.423,3.816,1.896,False,1.08,8,33.189,0.3018,0.7546,19.084,0.962,0.6037,218.31,93.44,9.411,11.633,172.885,,cut_unclear,AGENT,0,0,0,True,3,True,true,true,false,true,true,false,false,false,na,false,44.44,na,2,3,2,2,2,3,8.35,8.703,4.791,0.9701,0.3943,-0.2133,-0.6076,-0.4919,18,2,0.8082,0.0,0.701,ai
C003,human,166.74,12.87,0.0008,-16.64,0.7677,12.99,16,0.8989,5.43,3,three_speakers,account_holder,true,unknown,,1270000.0,illness_calamity,firm_promise,7,True,firm,1268100.0,30 de agosto,full,true,true,False,3,True,2,1,client,2,2,0,100.0,147.479,75.822,38.489,0.6633,17.947,21,8.5436,10.302,4.621,15.964,0,0.523,0.891,0.81,False,0.608,0,0.0,0.0,1.2205,5.822,2.136,0.8137,185.17,123.15,1.544,1.544,44.913,95.656,agent,CLIENT,0,0,0,False,0,False,true,false,false,true,true,true,false,false,true,false,50.0,na,4,4,4,4,4,4,8.265,10.025,7.416,0.342,-0.431,0.2674,0.6984,-0.7651,1,0,0.7025,1.564,0.7306,human
C004,human,309.52,14.83,0.0,-19.27,0.8273,16.46,18,0.917,3.33,3,agent_spoke_first;hallucination_removed;three_speakers,account_holder,false,unknown,,400000.0,other,firm_promise,7,True,firm,133300.0,5 de agosto,full,true,true,False,3,True,2,2,client,3,3,0,100.0,293.118,189.255,46.038,0.8043,17.138,32,6.5503,13.515,4.082,25.853,0,0.043,0.79,1.232,True,,1,3.358,0.2047,0.6141,3.68,0.608,1.2282,190.85,153.79,,0.0,33.21,109.721,agent,CLIENT,0,0,0,False,0,False,true,false,false,false,true,true,true,false,true,true,60.0,na,3,4,4,5,4,4,6.492,5.65,6.122,-0.4242,0.0216,0.5427,0.5211,-0.2057,7,1,0.7616,3.448,0.7384,human
C005,human,105.46,11.56,0.0,-20.11,0.7354,3.55,5,0.8435,9.76,2,agent_spoke_first;diar_corrected;hallucination_removed,third_party,false,unknown,,,not_stated,third_party,1,False,na,,,,na,na,False,,False,0,0,none,0,0,0,,94.067,48.173,0.0,1.0,23.731,15,9.5676,7.385,,14.952,0,,,,True,,0,0.0,0.0,0.0,5.109,,0.6378,125.8,,,17.319,,,cut_unclear,AGENT,0,0,0,True,0,True,true,true,na,na,na,na,na,na,na,na,,true,2,2,2,,2,3,5.737,,7.35,,,,,,5,2,0.7365,0.0,0.5517,unsure
C006,ai,66.6,36.52,0.0004,-17.22,0.52,13.04,14,0.8894,9.64,2,,wrong_number,false,unknown,,,not_stated,no_contact,0,False,na,,,,na,na,False,,False,0,0,none,0,0,0,,64.443,17.861,0.0,1.0,51.164,8,7.4484,9.311,,14.209,0,,,,False,,3,11.685,0.0,0.0,0.27,,1.8621,208.28,,,,,,cut_unclear,AGENT,0,0,0,False,0,False,true,false,na,na,na,na,na,na,na,na,,false,4,3,3,,3,4,6.449,,6.157,,,,,,2,2,0.7967,3.359,0.6155,ai
C007,ai,166.04,18.61,0.0002,-17.75,0.696,12.97,15,0.958,1.35,2,agent_spoke_first,account_holder,true,unknown,1760000.0,,other,no_agreement,3,False,na,,,,na,na,False,,True,1,0,agent,2,0,1,0.0,158.204,72.588,20.646,0.7786,37.382,13,4.9303,16.478,4.211,84.763,1,2.438,3.723,1.396,True,,4,16.603,0.0,0.3793,1.315,0.962,0.0,220.7,84.28,7.847,8.404,8.404,,cut_unclear,AGENT,0,0,0,False,0,False,true,true,false,true,true,false,false,false,na,false,44.44,na,2,3,2,2,2,3,8.623,7.691,6.208,-0.0401,0.1812,-0.582,-0.7632,-0.748,9,2,0.8016,0.0,0.6916,ai
C008,human,208.44,8.43,0.0002,-21.02,0.7244,24.07,26,0.9056,3.79,3,hallucination_removed;low_snr;three_speakers,account_holder,false,unknown,,110000.0,payment_channel_problem,firm_promise,7,True,firm,110000.0,el día de mañana 4 de agosto,full,true,true,False,3,True,1,0,agent,2,2,0,100.0,192.881,92.127,35.489,0.7219,25.657,21,6.5325,12.028,4.887,37.479,1,1.194,2.532,1.18,False,5.23,1,5.079,0.3111,0.3111,2.116,5.286,1.2443,188.87,179.21,,11.205,99.154,109.924,agent,CLIENT,1,0,1,False,0,False,false,true,false,false,true,true,true,false,true,true,60.0,na,5,3,3,4,5,4,7.84,7.933,6.638,-0.8121,0.2193,0.115,-0.1043,-0.7515,3,1,0.6759,0.0,0.7784,human
C009,human,81.64,8.56,0.0,-21.24,0.7406,6.78,8,0.8986,5.65,3,agent_spoke_first;low_snr;three_speakers,account_holder,false,telecom_services,,1830000.0,disputes_charge,holder_refuses,2,False,na,,,,na,na,False,,False,0,0,none,1,0,0,0.0,67.988,21.366,28.56,0.428,18.623,2,1.765,36.264,31.842,36.264,1,,,,True,,0,0.0,0.0,0.0,1.941,,3.53,213.42,210.08,,0.0,,,cut_unclear,CLIENT,0,0,0,False,0,False,true,true,false,false,true,false,false,true,na,false,44.44,na,3,3,3,2,3,4,10.254,7.299,6.177,,-0.8683,-0.8683,0.0,-0.8683,2,0,0.86,0.0,0.5999,unsure
C010,human,201.9,6.3,0.0,-22.61,0.7414,8.08,12,0.8999,5.18,3,agent_spoke_first;low_snr;three_speakers,account_holder,false,unknown,,,illness_calamity;other,no_agreement,3,False,na,,,,na,na,False,,True,1,0,agent,1,0,0,0.0,178.827,62.494,75.578,0.4526,21.134,12,4.0262,11.568,17.57,25.18,0,1.485,2.049,1.603,True,,0,0.0,0.0,0.671,3.411,2.009,1.6776,219.86,185.77,,0.0,61.951,,agent,CLIENT,0,0,0,False,0,False,true,false,false,false,true,true,false,true,na,true,55.56,na,4,3,3,3,3,5,6.218,5.546,5.652,0.1683,-0.8358,-0.5649,0.2709,-0.9685,0,1,0.7977,6.69,0.7387,human
