call_id,group,objection_idx,turn_id,time_s,type,agent_technique,response_turn_id,resolved
C002,ai,1,T021,270.625,wants_discount,clarification,T022,partial
C002,ai,2,T023,289.356,no_money,ignores_repeats_script,T024,partial
C003,human,1,T005,29.573,no_money,reschedule,T006,yes
C003,human,2,T009,64.015,no_money,reschedule,T012,yes
C004,human,1,T006,55.451,no_money,alternative_offer,T007,yes
C004,human,2,T020,205.571,distrust_who_is_calling,clarification,T021,yes
C004,human,3,T026,247.387,distrust_who_is_calling,clarification,T027,yes
C007,ai,1,T006,94.028,no_money,clarification,T007,partial
C007,ai,2,T012,143.624,no_money,ignores_repeats_script,T013,no
C008,human,1,T007,35.944,call_later,ignores_repeats_script,T008,yes
C008,human,2,T011,65.981,other,clarification,T012,yes
C009,human,1,T002,36.146,doesnt_recognize_debt,ignores_repeats_script,,no
C010,human,1,T002,25.99,no_money,consequences,T003,no
C013,human,1,T004,57.248,no_money,clarification,T005,partial
C013,human,2,T008,126.217,distrust_who_is_calling,clarification,T009,partial
C014,human,1,T004,19.066,distrust_who_is_calling,clarification,T005,yes
C016,human,1,T008,28.797,already_paid,clarification,T009,yes
C017,human,1,T003,32.009,no_money,reschedule,T006,partial
C018,ai,1,T013,68.597,call_later,clarification,T014,yes
C019,human,1,T011,88.243,call_later,reschedule,T012,yes
C020,human,1,T003,19.59,other,reschedule,T004,yes
C021,ai,1,T004,83.548,no_money,reschedule,T005,no
C023,human,1,T005,46.503,no_money,reschedule,T006,yes
C024,ai,1,T001,0.0,distrust_who_is_calling,clarification,T001,yes
C025,ai,1,T005,46.946,doesnt_recognize_debt,clarification,T006,no
C026,ai,1,T005,81.826,no_money,alternative_offer,T006,partial
C026,ai,2,T009,169.053,no_money,ignores_repeats_script,T012,partial
C026,ai,3,T015,249.21,wrong_amount,alternative_offer,T016,yes
C027,human,1,T006,46.231,no_money,ignores_repeats_script,T007,partial
C027,human,2,T012,79.66,no_money,reschedule,T013,yes
C029,ai,1,T013,133.161,wrong_amount,ignores_repeats_script,T014,no
C029,ai,2,T019,296.983,wants_discount,ignores_repeats_script,T020,partial
C030,ai,1,T009,26.747,distrust_who_is_calling,ignores_repeats_script,T010,partial
C031,human,1,T006,43.554,call_later,ignores_repeats_script,T007,yes
C033,human,1,T005,14.175,other,clarification,T006,yes
C037,ai,1,T012,116.809,wrong_amount,empathy_validation,T013,partial
C037,ai,2,T020,261.411,other,empathy_validation,T021,no
C038,human,1,T004,38.678,wrong_amount,clarification,T005,no
C038,human,2,T026,216.051,other,clarification,T027,no
C038,human,3,T038,335.374,wrong_amount,escalates,T039,partial
C040,ai,1,T005,28.94,doesnt_recognize_debt,clarification,T006,partial
