call_id,group,offer_idx,turn_id,time_s,proposed_by,type,amount,date_text
C002,ai,1,T014,172.885,agent,discount_forgiveness,630000,
C002,ai,2,T023,289.356,client,partial_payment,300000,
C002,ai,3,T030,341.179,agent,refinancing_restructuring,,
C003,human,1,T007,44.913,client,extra_time,,fin del mes
C003,human,2,T008,47.984,agent,partial_payment,,el 15 de agosto
C003,human,3,T012,86.341,agent,extra_time,,30 de agosto
C004,human,1,T004,33.21,client,extra_time,,el otro mes
C004,human,2,T005,43.554,agent,partial_payment,,este mes
C004,human,3,T009,95.191,agent,refinancing_restructuring,133300,
C004,human,4,T012,127.068,client,extra_time,,los 5
C007,ai,1,T005,8.404,agent,discount_forgiveness,1760000,
C008,human,1,T014,99.154,agent,full_payment,110000,el día de mañana 4 de agosto
C010,human,1,T003,61.951,agent,extra_time,,entre hoy y el lunes
C011,ai,1,T007,65.593,agent,discount_forgiveness,380000,
C011,ai,2,T011,135.388,agent,full_payment,380000,antes del 31 de julio
C011,ai,3,T011,135.388,agent,minimum_installment,190000,
C012,ai,1,T005,26.293,agent,discount_forgiveness,810000,
C012,ai,2,T005,26.293,agent,full_payment,810000,
C013,human,1,T003,21.741,agent,minimum_installment,457000,
C014,human,1,T009,47.535,agent,full_payment,672584,
C014,human,2,T009,47.535,agent,minimum_installment,,
C014,human,3,T013,93.654,agent,full_payment,672584,viernes 21 de agosto
C015,human,1,T002,0.302,agent,refinancing_restructuring,102000,
C017,human,1,T005,51.095,client,extra_time,,"mañana, si no la otra semana"
C017,human,2,T008,75.834,agent,partial_payment,,este mes
C018,ai,1,T010,48.462,agent,discount_forgiveness,,
C018,ai,2,T016,91.749,agent,full_payment,4310000,4 de agosto de 2026
C019,human,1,T010,88.007,agent,extra_time,,30 de junio
C020,human,1,T005,34.088,client,extra_time,,15 de julio
C021,ai,1,T003,9.687,agent,discount_forgiveness,4960000,
C021,ai,2,T007,101.352,agent,full_payment,4960000,antes del 25 de julio
C023,human,1,T005,46.503,client,extra_time,,el 20 del otro mes
C026,ai,1,T004,31.657,agent,discount_forgiveness,4350000,
C026,ai,2,T006,141.48,agent,minimum_installment,2180000,
C026,ai,3,T009,169.053,client,extra_time,,15 de agosto
C026,ai,4,T012,197.408,agent,extra_time,,31 de julio
C026,ai,5,T014,222.729,agent,partial_payment,,antes del 31 de julio
C026,ai,6,T015,249.21,client,minimum_installment,1500000,
C026,ai,7,T016,288.549,agent,refinancing_restructuring,,
C026,ai,8,T019,363.875,client,minimum_installment,400000,
C027,human,1,T011,75.07,agent,full_payment,60000,el día de hoy
C027,human,2,T014,98.29,client,extra_time,,el 30
C028,ai,1,T001,0,agent,discount_forgiveness,9730000,
C028,ai,2,T003,73.98,agent,minimum_installment,4870000,
C029,ai,1,T010,61.223,agent,discount_forgiveness,1970000,
C029,ai,2,T013,133.161,client,discount_forgiveness,1000000,
C029,ai,3,T015,192.493,client,minimum_installment,,
C029,ai,4,T018,268.245,agent,refinancing_restructuring,,
C030,ai,1,T010,36.771,agent,discount_forgiveness,2560000,
C037,ai,1,T017,172.412,agent,discount_forgiveness,13040000,antes del 31 de agosto de 2026
C038,human,1,T033,298.469,agent,minimum_installment,200000,
C040,ai,1,T012,111.662,agent,discount_forgiveness,2110000,
C040,ai,2,T021,245.615,client,extra_time,,después de 30
C042,human,1,T004,10.702,agent,full_payment,340000,31 de julio
C043,ai,1,T008,58.488,agent,discount_forgiveness,2500000,
C043,ai,2,T012,134.679,agent,minimum_installment,1250000,26 de julio
C043,ai,3,T016,238.528,agent,refinancing_restructuring,,
C043,ai,4,T017,261.495,client,minimum_installment,250000,
C043,ai,5,T021,299.788,client,extra_time,,hasta el 31
C044,human,1,T005,43.993,client,extra_time,,finales de mes
C046,human,1,T001,0,agent,discount_forgiveness,10000000,
